known	unknown	DDC	DDE	TFC
0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1	000381.automARkdown	0.99961	58.06	0.99727
0094ZaynCabidin.SahifaSajjadiyya.Shia001112-ara1	000691.automARkdown	0.98637	~	0.93667
0122ZaydIbnCali.MusnadZayd.Zaydiyya0000052-ara1	001648.automARkdown	0.93414	~	~
0122ZaydIbnCali.MusnadZayd.Zaydiyya0000052-ara1	004944Vols.automARkdown	0.93204	~	~
0126KumaytIbnZaydAsadi.Rawda.Shia003659-ara1	001700.automARkdown	0.97386	~	~
0142IbnMuqaffac.KalilaWaDimna.Shamela0026537-ara1	002347.automARkdown	0.99327	~	0.95669
0142IbnMuqaffac.KalilaWaDimna.Shamela0026537-ara1	002332.automARkdown	0.93302	~	~
0145MufaddalIbnCumarJucfi.Tawhid.Shia001267-ara1	004555.automARkdown	0.98754	~	0.95583
0145MufaddalIbnCumarJucfi.Tawhid.Shia001267-ara1	002972Vols.automARkdown	0.93736	~	~
0145MufaddalIbnCumarJucfi.Tawhid.Shia001267-ara1	004804.automARkdown	0.93264	~	~
0145MufaddalIbnCumarJucfi.Tawhid.Shia001267-ara1	004560.automARkdown	0.93215	~	~
0145MufaddalIbnCumarJucfi.Tawhid.Shia001267-ara1	000567.automARkdown	0.93182	~	~
0145MufaddalIbnCumarJucfi.Tawhid.Shia001267-ara1	004551.automARkdown	0.93136	~	~
0146MajacaIbnZubayr.MinHadith.Shamela0026745-ara1	002047.automARkdown	0.93345	~	~
0151IbnIshaq.Sira.Shamela0009862-ara2	002221.automARkdown	0.98635	~	0.95947
0151IbnIshaq.Sira.Shamela0009862-ara2	002238Vols.automARkdown	0.94596	~	~
0151IbnIshaq.Sira.Shamela0009862-ara2	002308Vols.automARkdown	0.93878	~	~
0157AbuMikhnafAzdi.MaqtalHusayn.Shia003665-ara1	002853.automARkdown	0.93218	~	~
0167BashsharIbnBurdShacir.Diwan.JK007613-ara1	003399Vols.automARkdown	0.93153	~	~
0170AbuZaydQurashi.JamharatAshcarCarab.Shamela0001487-ara1	002985Vols.automARkdown	0.93525	~	~
0170AbuZaydQurashi.JamharatAshcarCarab.Shamela0001487-ara1	002334.automARkdown	0.93258	~	~
0170KhalilFarahidi.Cayn.Shia003887Vols-ara1	000961Vols.automARkdown	0.96935	~	~
0189MuhammadShaybani.Kasb.Shamela0006163-ara1	002067Vols.automARkdown	0.94964	~	~
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	001959.automARkdown	0.96305	~	~
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	001960.automARkdown	0.9528	~	~
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	002330.automARkdown	0.9527	~	~
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	002348.automARkdown	0.94697	~	~
0200IbnJacfarSadiq.Masail.Shia001114-ara1	001007.automARkdown	0.99745	~	0.99774
0200SayfIbnCumar.Fitna.Shia001884-ara1	003372Vols.automARkdown	0.95118	~	~
0200SayfIbnCumar.Fitna.Shia001884-ara1	003026.automARkdown	0.93389	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	003295.automARkdown	0.94617	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	001920.automARkdown	0.94321	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	001832.automARkdown	0.93922	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	002880Vols.automARkdown	0.93785	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	001980Vols.automARkdown	0.937	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	002336.automARkdown	0.93408	~	~
0204IbnKalbi.JamharatAnsab.Shamela0000504-ara1	001959.automARkdown	0.96822	~	~
0204IbnKalbi.JamharatAnsab.Shamela0000504-ara1	001960.automARkdown	0.95363	~	~
0204IbnKalbi.JamharatAnsab.Shamela0000504-ara1	002330.automARkdown	0.95323	~	~
0204IbnKalbi.JamharatAnsab.Shamela0000504-ara1	004774Vols.automARkdown	0.93209	~	~
0204IbnKalbi.NasabMacad.Shamela0028172-ara1	001959.automARkdown	0.94682	~	~
0204Shafici.Risala.Shia000819-ara1	002862.automARkdown	0.93078	~	~
0207Waqidi.Maghazi.Shamela0023680-ara1	003023Vols.automARkdown	0.972	~	0.94424
0207Waqidi.Maghazi.Shamela0023680-ara1	002238Vols.automARkdown	0.95773	~	~
0207Waqidi.Maghazi.Shamela0023680-ara1	002308Vols.automARkdown	0.9497	~	~
0207Waqidi.Maghazi.Shamela0023680-ara1	004408.automARkdown	0.94682	~	~
0207Waqidi.Maghazi.Shamela0023680-ara1	002329Vols.automARkdown	0.94598	~	~
0207Waqidi.Maghazi.Shamela0023680-ara1	001864Vols.automARkdown	0.93305	~	~
0207Waqidi.Ridda.Shamela0012222-ara1	002954Vols.automARkdown	0.9689	~	~
0209AbuCaliAshyabBaghdadi.JuzAshyab.Shia001886-ara1	002329Vols.automARkdown	0.93127	~	~
0212IbnMuzahimMinqari.WaqcatSiffin.Shia003666-ara1	003026.automARkdown	0.9975	~	0.99609
0212IbnMuzahimMinqari.WaqcatSiffin.Shia003666-ara1	003372Vols.automARkdown	0.93013	~	~
0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1	001880Vols.automARkdown	0.94457	~	~
0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1	002348.automARkdown	0.93656	~	~
0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1	003361Vols.automARkdown	0.93232	~	~
0219IbnMuslimBasri.Ahadith.Shamela0030305-ara1	002047.automARkdown	0.96195	~	0.93227
0219IbnMuslimBasri.Ahadith.Shamela0030305-ara1	000216.automARkdown	0.94045	~	~
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1	002874.automARkdown	0.99965	51.31	0.99782
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1	000451Vols.automARkdown	0.95091	~	~
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1	000609Vols.automARkdown	0.94566	~	~
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1	000446.automARkdown	0.9448	~	~
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1	001844Vols.automARkdown	0.94244	~	~
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1	001978Vols.automARkdown	0.94165	~	~
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1	000670.automARkdown	0.9412	~	~
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1	000144.automARkdown	0.94104	~	~
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1	000083.automARkdown	0.94099	~	~
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1	002883Vols.automARkdown	0.93923	~	~
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1	001660.automARkdown	0.9381	~	~
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1	001840.automARkdown	0.93767	~	~
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1	000074.automARkdown	0.93681	~	~
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1	002915Vols.automARkdown	0.93638	~	~
