known	unknown	DDC	DDE	TFC
0001Quran.Mushaf.Tanzil001-ara1	1597.html	0.97773	~	~
0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1	3476.html	0.93184	~	~
0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1	3490.html	0.93175	~	~
0122ZaydIbnCali.MusnadZayd.Zaydiyya0000052-ara1	202.html	0.94736	~	~
0122ZaydIbnCali.MusnadZayd.Zaydiyya0000052-ara1	228.html	0.93374	~	~
0126KumaytIbnZaydAsadi.Rawda.Shia003659-ara1	286.html	0.97407	~	~
0145MufaddalIbnCumarJucfi.Tawhid.Shia001267-ara1	725.html	0.98997	~	0.9661
0145MufaddalIbnCumarJucfi.Tawhid.Shia001267-ara1	3457.html	0.94578	~	~
0145MufaddalIbnCumarJucfi.Tawhid.Shia001267-ara1	2254.html	0.93308	~	~
0146MajacaIbnZubayr.MinHadith.Shamela0026745-ara1	3489.html	0.93402	~	~
0150MuqatilIbnSulayman.TafsirMuqatil.Shamela0023614-ara2	3839.html	0.97801	~	0.94974
0150MuqatilIbnSulayman.TafsirMuqatil.Shamela0023614-ara2	3849.html	0.94705	~	~
0150MuqatilIbnSulayman.TafsirMuqatil.Shamela0023614-ara2	3851.html	0.93636	~	~
0157AbuMikhnafAzdi.MaqtalHusayn.Shia003665-ara1	3473.html	0.93797	~	~
0157AbuMikhnafAzdi.MaqtalHusayn.Shia003665-ara1	3223.html	0.93276	~	~
0170KhalilFarahidi.Cayn.Shia003887Vols-ara1	2820.html	0.9453	~	~
0179MalikIbnAnas.Muwatta.Shamela0028107-ara1	2590.html	0.93727	~	~
0180Sibawayh.KitabSibawayh.Shamela0023018-ara1	2542.html	0.95753	~	~
0189IbnHamzaKisai.MushtabihatQuran.Shamela0029986-ara1	871.html	0.98354	~	0.9665
0189MuhammadShaybani.Kasb.Shamela0006163-ara1	2967.html	0.93548	~	~
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	2235.html	0.93335	~	~
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	2546.html	0.933	~	~
0200SayfIbnCumar.Fitna.Shia001884-ara1	66.html	0.95094	~	~
0200SayfIbnCumar.Fitna.Shia001884-ara1	1168.html	0.9426	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2904.html	0.95484	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2139.html	0.95248	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2138.html	0.94962	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2323.html	0.9481	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2283.html	0.94503	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2959.html	0.94422	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2356.html	0.94367	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2902.html	0.9428	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2170.html	0.94173	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2980.html	0.94152	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2407.html	0.94112	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2137.html	0.93945	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2330.html	0.93877	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2366.html	0.93865	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2890.html	0.93807	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2384.html	0.938	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2718.html	0.93781	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2893.html	0.93739	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2894.html	0.93697	~	~
0203CaliRida.Sahifa.Zaydiyya0000158-ara1	2981.html	0.93673	~	~
